KPI,KPIID,KPIScore
[SFI-TI4.2.27.9] Protect APPKI identities of EAP VMs in KeyGuard,b020adc8-2d7f-48ba-aace-51238f59c068,80
[SFI-ID4.2.2] SQL DB - Safe Secrets Standard,aec047c5-51e2-4e2a-92fd-b9926fa8593b,80
[SFI-TI5.2.4] Geneva Actions Eliminate Unscoped PSV,1707fffe-dab9-4257-a318-030a4664d78d,80
[SFI-ID4.2.3] Cosmos DB - Safe Secrets Standard,fef0b920-0076-43c9-a793-06a1187c0353,80
[SFI-ID2.3.16] Block creation/update of apps vulnerable to WhiskeySour attack,65079fb0-6817-484c-adce-227431555243,80
[SFI-ID4.2.4] SQL Managed Instance - Safe Secrets Standard,e72b264d-83d8-471d-8847-fe30e498a8e4,80
[SFI-ES4.1.1] ES Standards: Pipeline Templates,41b084c4-5e50-42d9-854f-086d670244b9,80
[SFI-ID4.2.5] Migrate to using Managed Identities to access Key Vaults during CloudTest execution (ONLY services that use CloudTest),73d8e586-3527-4a53-b9a0-a3a817e61650,80
[SFI-ES4.2.4] Network Isolation for CFS endpoints,0f27291c-bc52-49fa-a978-7b4a9c362107,80
[SFI-ID4.3.1] Cognitive Services - Safe Secrets Standard,cb71c09d-0f7b-4056-8988-234502090876,80
[SFI-SM2.5.3] Adopt Credactor to Prevent Secret Leaks in Geneva Logs,57066be3-b43f-4e4c-bed4-aa5d968ab9c4,80
[SFI-ID4.3.2] Event Hub - Safe Secrets Standard,494b97d8-69cc-479f-9763-a7a77fcdd19a,80
[SFI-TI2.3.3.1] Opt-In Durability Enforcement for Anonymous Access to Azure Blob Storage,0dce4e10-23cb-4222-94e0-a488f592e5ba,80
[SFI-ES2.8] Migrate all internal Azure DevOps OAuth apps to Entra OAuth,db48a5c3-c804-47f6-82b8-96cfb1dc9f5c,80
[SFI-TI3.1.3] Block External Authentication Governance,da6b8186-567d-4c03-aeab-4d2d9d2d0d14,80
[PILOT][SFI-vTI5.1.3] Remove standing human access to Key Vaults,d46c8070-a79d-4301-907b-ab3ba967b95c,80
"[SFI-TI3.2.2] Entra ID App registrations, credentials and compute should be homed in the same",dc1c236d-e85a-413e-bdea-7fc89b096f9f,80
"[SFI-NS1.13.1]	Migrate out of and decom shared EAP Vnets",a40f35fd-dea6-4815-bef4-37ce303e9001,80
[SFI-TI3.3.9] Adopt Least Privileged Access for Foundational Applications,6ee31f39-b857-445a-a96e-e61853ff204f,80
[SFI-NS1.13.3] Only Peered VNET for communication between 1P VNETs.,092725ba-68e5-451b-8aa3-7f3daa893968,80
[SFI-TI4.1.5] Geneva Actions Operations have RBAC enforced,18fe67fb-ae76-472b-8156-eaf59d245fc5,80
[SFI-NS1.7.1] Eliminate Internet/Corpnet access from AP/PF Environments,2ad26e83-dead-42d3-8c70-59d12b1348b4,80
[SFI-TI4.1.8] ECS Datacenter Identity Compliance,12b14ef5-1e55-4195-88e3-7dd12990b57a,80
[SFI-NS1.7.2] Tags only: Isolation syntax and Star Rules deprecation,9b904a23-5643-4a41-8e2e-d183e6b5e76a,80
[SFI-ES2.4] Reduce unused and overly permissive access to Azure DevOps,b4aaf998-80a1-4bfe-86e4-6e767b434a91,80
[SFI-NS2.1] IP allocations with Service Tags,04988624-19fe-4a58-974a-aa47f6f6c1a4,80
[SFI-TI4.2.15.1][TCB] Fully Distrust Remote Storage Platforms.,213f526f-6a60-4bcb-84dd-2a9b4414365e,80
[SFI-NS2.5.1] Overexposed Endpoints,627d394a-a7ce-4eb8-92e8-39edce55810f,80
[SFI-ID2.1.9] AuthN Validation,40dc5095-2aea-40d0-8e0d-4676a140c1bb,80
[SFI-NS2.3.1] Secure Entra 1p Apps,d9cf0bdd-527b-4267-bd42-198314779dba,80
[SFI-TI4.4.2] Eliminate 100% of Productivity tenant-homed multitenant Entra Applications with Service Principals in 3rd party tenant(s),af48c9cb-2ab3-420d-9184-6dabf014745e,80
[SFI-ES3.6.1] Eliminate access to ESRP Codesigning from Corp Tenant Identities,a3f38806-7bdb-425b-94db-9786b767f951,80
[SFI-ID2.3.1] Services remove Trusted for Delegation (TFD) flow,9308040d-bafc-4c4d-9529-96b07f6f21b0,80
[SFI-NS2.5.2] IaaS Network Isolation,1827c1aa-2f38-4122-873b-de9a4465999d,80
[SFI-TI6.3.2] Endpoint Least Privilege Access for CORP contingent staff,465899cb-c712-4262-9c55-ad041555cd9f,80
[SFI-NS2.6.1] Mark all subnets to disable default outbound connectivity,5c85fca2-d174-492c-80df-4cdaa5f74b4d,80
[SFI-ID2.3.15] Enable S2S Authentication in ECS,f3ed69ec-a8f4-4311-936b-455e83a09229,80
[SFI-NS2.6.3] Network Identifier,4263df32-8001-409b-9ba8-0a31cf405718,80
[SFI-ID2.3.18] Access Bing API using EntraID,bb64415d-e404-42ab-a824-8b9f2e6ecc7a,80
[SFI-ES3.8.1] Azure RP with HIS must onboard to Secrets Analytics,b50e302f-5de6-4dd8-b94c-d5b1a7ecf4a9,80
[SFI-ID4.3.3] Service Bus - Safe Secrets Standard,7d5cfd70-9211-4d31-8c72-b5f4723eaa25,80
[SFI-ID5.3.1] Implement CAE v2.0.0+ for S2S tokens,920cf6a0-25bc-4ea3-901f-42edeaad79e5,80
[SFI-NS2.2.1] Secure PaaS Resources,e3123e2a-615c-42ea-96a8-27e9732fdecd,80
